 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
31,0.055555556,0.050000002,0.053333335,0.045555557,0.057777779,0.270000002,0.117777776,0.237777784,0.067777777,0.131111111,0.096666664,0.207777783,0.391111109,0.37333332,0.141111109,0.696666658,0.607777774,0.421111124,0.405555561,0.560000002
32,0.056666669,0.056666667,0.083333335,0.09333333,0.09333333,0.114444446,0.046666668,0.562222242,0.072222224,0.376666678,0.314444445,0.465555549,0.192222223,0.252222225,0.376666665,0.533333339,0.449999988,0.578888893,0.699999988,0.536666662
33,0.065555556,0.035555555,0.032222223,0.047777777,0.064444443,0.112222221,0.126666665,0.091111111,0.059999999,0.35666668,0.399999999,0.189999996,0.336666674,0.337777779,0.247777777,0.512222216,0.444444463,0.181111116,0.434444444,0.057777777
34,0.044444446,0.054444445,0.085555553,0.078888889,0.054444446,0.140000001,0.295555563,0.147777777,0.283333339,0.107777778,0.075555556,0.49000001,0.231111116,0.464444444,0.155555557,0.373333324,0.125555553,0.414444434,0.498888873,0.072222223
35,0.034444444,0.08,0.082222223,0.048888891,0.035555555,0.068888889,0.282222228,0.295555547,0.311111126,0.151111111,0.502222225,0.305555552,0.545555547,0.364444444,0.119999997,0.125555556,0.228888892,0.74111113,0.585555553,0.32333333
36,0.074444445,0.036666667,0.104444444,0.063333334,0.131111115,0.162222225,0.347777776,0.374444433,0.371111099,0.141111111,0.641111106,0.177777778,0.205555551,0.076666669,0.325555559,0.38222222,0.295555564,0.377777766,0.48777777,0.785555542
37,0.037777779,0.109999999,0.123333331,0.072222222,0.081111113,0.18777778,0.235555552,0.172222223,0.280000001,0.374444455,0.33777779,0.330000002,0.311111107,0.505555548,0.348888896,0.799999982,0.428888902,0.644444466,0.457777783,0.565555573
38,0.02888889,0.067777779,0.091111109,0.109999998,0.151111115,0.25444445,0.248888887,0.291111103,0.652222216,0.234444447,0.163333328,0.405555561,0.268888898,0.408888873,0.799999982,0.515555561,0.803333312,0.10111111,0.822222203,0.732222229
39,0.034444445,0.09,0.054444445,0.051111111,0.170000006,0.088888887,0.32444445,0.148888886,0.19444444,0.314444445,0.255555548,0.708888918,0.483333349,0.094444444,0.643333316,0.272222217,0.321111113,0.823333353,0.816666692,0.208888896
40,0.026666667,0.048888888,0.093333334,0.19888889,0.272222221,0.210000003,0.12111111,0.297777787,0.347777788,0.685555577,0.185555561,0.650000006,0.37777777,0.331111103,0.141111109,0.175555555,0.43222221,0.288888887,0.236666672,0.339999989
41,0.045555556,0.064444445,0.052222221,0.156666666,0.157777775,0.187777773,0.266666666,0.30888889,0.383333324,0.212222226,0.318888888,0.75333333,0.586666644,0.504444435,0.471111104,0.671111107,0.722222209,0.468888879,0.481111102,0.339999996
42,0.047777778,0.047777779,0.146666666,0.087777779,0.337777779,0.19444444,0.232222229,0.293333344,0.216666665,0.146666674,0.49222222,0.418888882,0.454444453,0.167777777,0.602222219,0.517777771,0.349999995,0.560000002,0.490000002,0.74333334
43,0.042222223,0.073333334,0.076666666,0.104444446,0.043333333,0.199999996,0.234444439,0.121111109,0.127777774,0.732222199,0.440000013,0.321111114,0.712222219,0.37333332,0.567777783,0.333333344,0.734444439,0.44999999,0.834444463,0.468888875
44,0.039999999,0.091111109,0.122222219,0.263333328,0.081111111,0.216666661,0.448888898,0.314444438,0.342222232,0.461111099,0.264444442,0.519999996,0.140000004,0.408888876,0.729999989,0.430000007,0.645555541,0.797777772,0.797777772,0.50777778
45,0.074444447,0.045555556,0.136666667,0.148888886,0.158888895,0.218888886,0.166666664,0.330000004,0.182222225,0.370000005,0.271111107,0.75,0.204444446,0.777777791,0.719999999,0.484444425,0.367777783,0.678888887,0.522222221,0.202222224
